Address,Lot Size,Total SQFT,Year Built,Bed,Full Bath,Sale Date,Sale Price,Description
5545 ILFORD CT,0.0888,1701,1985,2,2,9/23/19,275000,SINGLE FAMILY
5541 ILFORD CT,0.0827,1531,1985,2,2,12/6/18,285000,SINGLE FAMILY
5536 FOX HOLLOW DR,0.1201,1585,1988,2,2,9/5/18,333500,SINGLE FAMILY
5508 FOX HOLLOW DR,0.1251,1585,1989,2,2,4/16/18,286150,SINGLE FAMILY
5471 FOX HOLLOW DR,0.0956,1585,1988,2,2,6/5/19,248230,SINGLE FAMILY
23257 BOCA CLUB COLONY CIR,0.1694,1834,1981,2,2,3/18/18,228400,TOWNHOUSE
23180 VIA STEL,0.1154,2232,1991,2,2,8/30/17,400000,SINGLE FAMILY
22380 PINEAPPLE WALK DR,0.0323,1419,1984,2,2,11/8/18,240000,TOWNHOUSE
22374 PINEAPPLE WALK DR,0.035,971,1984,2,2,5/30/19,210000,TOWNHOUSE
22374 PINEAPPLE WALK DR,0.035,971,1984,2,2,2/23/17,179000,TOWNHOUSE
22354 PINEAPPLE WALK DR,0.035,971,1984,2,2,10/4/18,200000,TOWNHOUSE
22348 PINEAPPLE WALK DR,0.0323,1419,1984,2,2,9/6/18,230000,TOWNHOUSE
22340 PINEAPPLE WALK DR,0.0323,1419,1984,2,2,4/10/19,235000,TOWNHOUSE
22324 PINEAPPLE WALK DR,0.0283,1089,1984,2,2,2/6/19,195000,TOWNHOUSE
22324 PINEAPPLE WALK DR,0.0283,1089,1984,2,2,11/7/17,178900,TOWNHOUSE
22322 PINEAPPLE WALK DR,0.0323,1419,1984,2,2,5/10/19,250000,TOWNHOUSE
22312 PINEAPPLE WALK DR,0.0283,1089,1984,2,2,9/17/19,193000,TOWNHOUSE
22300 PINEAPPLE WALK DR,0.0323,1419,1984,2,2,9/10/19,219500,TOWNHOUSE
22290 PINEAPPLE WALK DR,0.0283,1089,1984,2,2,8/9/17,190000,TOWNHOUSE
22278 PINEAPPLE WALK DR,0.0283,1089,1984,2,2,4/19/19,212500,TOWNHOUSE
22278 PINEAPPLE WALK DR,0.0283,1089,1984,2,2,3/3/17,185000,TOWNHOUSE
22276 PINEAPPLE WALK DR,0.0323,1419,1984,2,2,1/9/19,208000,TOWNHOUSE
21921 TOWN PLACE DR,0.1899,2455,1987,2,2,11/7/17,500000,SINGLE FAMILY
21897 TOWN PLACE DR,0.1443,2455,1988,2,2,2/23/17,445000,SINGLE FAMILY
21879 TOWN PLACE DR,0.162,2452,1988,2,2,9/21/18,495000,SINGLE FAMILY
21867 TOWN PLACE DR,0.1412,2452,1988,2,2,8/22/17,345000,SINGLE FAMILY
21843 TOWN PLACE DR,0.1436,2452,1986,2,2,9/27/18,405000,SINGLE FAMILY
21800 CONTADO RD,0.1117,1957,1981,2,2,11/21/19,285500,TOWNHOUSE
21800 CONTADO RD,0.1117,1957,1981,2,2,6/11/18,280000,TOWNHOUSE
21778 CLUB VILLA TER,0.1344,2417,1987,2,2,10/15/18,475000,SINGLE FAMILY
21741 CLUB VILLA TER,0.1447,2455,1985,2,2,12/3/18,425000,SINGLE FAMILY
21735 CLUB VILLA TER,0.1362,2455,1985,2,2,4/26/19,505000,SINGLE FAMILY
21703 CROMWELL CIR,0.0921,1585,1988,2,2,5/10/19,285000,SINGLE FAMILY
21703 CROMWELL CIR,0.0921,1585,1988,2,2,3/3/17,245000,SINGLE FAMILY
