Address,Lot Size,Total SQFT,Year Built,Bed,Full Bath,Sale Date,Sale Price,Description
173 BERMUDA DR,0.0553,2220,1999,3,2,4/16/21,540000,TOWNHOUSE
171 BERMUDA DR,0.0553,2220,1999,3,2,3/4/21,495000,TOWNHOUSE
168 WENTWORTH CT,0.0381,1842,1999,3,2,12/3/21,428720,TOWNHOUSE
167 BARBADOS DR,0.2546,3440,1999,5,3,2/18/22,1350000,SINGLE FAMILY
154 BARBADOS DR,0.218,3916,1999,4,3,8/2/22,1550000,SINGLE FAMILY
154 BARBADOS DR,0.218,3916,1999,4,3,3/31/21,950000,SINGLE FAMILY
152 POINCIANA DR,0.0553,2220,1999,3,2,10/12/22,610000,TOWNHOUSE
151 SWEET BAY CIR,0.1216,2807,1999,3,2,12/29/21,649000,SINGLE FAMILY
148 WENTWORTH CT,0.0381,1842,1999,3,2,4/18/23,585000,TOWNHOUSE
146 WENTWORTH CT,0.0381,1842,1999,3,2,8/28/23,610000,TOWNHOUSE
144 SWEET BAY CIR,0.2103,3922,1999,4,3,12/13/23,1092500,SINGLE FAMILY
144 BARBADOS DR,0.1807,3916,1999,4,3,7/28/23,1300000,SINGLE FAMILY
143 WENTWORTH CT,0.0381,1842,1999,3,2,12/4/23,537000,TOWNHOUSE
142 WENTWORTH CT,0.0473,1854,1999,3,2,7/28/21,440000,TOWNHOUSE
141 WENTWORTH CT,0.0473,1854,1999,3,2,12/21/21,479000,TOWNHOUSE
140 SWEET BAY CIR,0.1519,3916,1999,4,3,9/28/23,1200000,SINGLE FAMILY
140 BARBADOS DR,0.2145,3062,1999,3,2,1/27/22,975000,SINGLE FAMILY
134 WENTWORTH CT,0.0381,1842,1999,3,2,5/25/21,410000,TOWNHOUSE
131 BARBADOS DR,0.1495,2807,1999,3,2,12/28/22,792000,SINGLE FAMILY
129 BARBADOS DR,0.1497,3440,1999,5,3,3/15/22,1355000,SINGLE FAMILY
123 DATE PALM DR,0.1222,2848,1999,3,2,6/7/23,725000,SINGLE FAMILY
120 BARBADOS DR,0.1807,3916,1999,4,3,10/25/23,1300000,SINGLE FAMILY
118 BARBADOS DR,0.1958,4682,1999,5,3,5/30/23,1750000,SINGLE FAMILY
110 WENTWORTH CT,0.0429,1842,1999,3,2,10/26/21,400000,TOWNHOUSE
103 VILLAGE WAY,0.3184,5572,1999,5,5,4/10/23,3200000,SINGLE FAMILY
409 ST MARTIN LN,0.161,3440,2000,5,3,10/23/23,1372000,SINGLE FAMILY
310 ST LUCIA LN,0.161,2807,2000,3,2,4/13/23,995000,SINGLE FAMILY
295 BARBADOS DR,0.1197,2966,2000,3,2,3/29/21,665000,SINGLE FAMILY
291 BARBADOS DR,0.1495,3440,2000,5,3,12/8/22,1325000,SINGLE FAMILY
272 BARBADOS DR,0.1807,3062,2000,3,2,1/23/24,1000000,SINGLE FAMILY
198 BARBADOS DR,0.2169,4682,2000,5,3,6/21/21,1650000,SINGLE FAMILY
190 BARBADOS DR,0.1958,4682,2000,6,3,7/12/23,1785000,SINGLE FAMILY
188 BARBADOS DR,0.1807,3062,2000,3,2,11/22/21,855000,SINGLE FAMILY
186 BARBADOS DR,0.1958,4682,2000,5,3,12/13/22,1649000,SINGLE FAMILY
185 BARBADOS DR,0.1194,2835,2000,3,2,2/15/23,910000,SINGLE FAMILY
184 BARBADOS DR,0.1807,3062,2000,3,2,11/30/22,920000,SINGLE FAMILY
163 RADCLIFFE CT,0.0686,2376,2000,3,2,11/1/21,556000,TOWNHOUSE
154 ASHLEY CT,0.0381,1986,2000,3,2,3/2/22,515000,TOWNHOUSE
145 COURTENAY CT,0.0747,2376,2000,3,2,6/10/23,630000,TOWNHOUSE
143 RADCLIFFE CT,0.048,1998,2000,3,2,4/29/22,600000,TOWNHOUSE
143 COURTENAY CT,0.0603,2364,2000,3,2,4/7/21,440000,TOWNHOUSE
138 RADCLIFFE CT,0.0467,1998,2000,3,2,4/7/22,465000,TOWNHOUSE
137 COURTENAY CT,0.0603,2364,2000,3,2,9/1/21,475000,TOWNHOUSE
136 ASHLEY CT,0.0376,1986,2000,3,2,2/15/23,588000,TOWNHOUSE
129 RADCLIFFE CT,0.0392,1986,2000,3,2,1/14/22,426000,TOWNHOUSE
128 RADCLIFFE CT,0.0365,1986,2000,3,2,7/11/22,601000,TOWNHOUSE
125 ASHLEY CT,0.0386,1986,2000,3,2,3/29/21,396000,TOWNHOUSE
124 ASHLEY CT,0.0376,1986,2000,3,2,8/11/23,450000,TOWNHOUSE
123 COURTENAY CT,0.0386,1986,2000,3,2,3/29/21,368000,TOWNHOUSE
122 ASHLEY CT,0.0467,1998,2000,3,2,12/14/22,549500,TOWNHOUSE
111 ASHLEY CT,0.0553,2364,2000,3,2,11/22/21,597500,TOWNHOUSE
105 ASHLEY CT,0.0686,2376,2000,3,2,3/28/22,620000,TOWNHOUSE
104 RADCLIFFE CT,0.0748,2376,2000,3,2,4/29/22,550000,TOWNHOUSE
6057 LAUDERDALE ST,0.1387,2091,2001,3,2,1/23/23,600000,SINGLE FAMILY
306 BOUGAINVILLEA DR,0.1239,2654,2001,3,2,10/10/22,960000,SINGLE FAMILY
242 POINCIANA DR,0.1263,2640,2001,3,2,4/19/23,790000,SINGLE FAMILY
238 NEWHAVEN BLVD,0.1011,1990,2001,2,2,5/22/23,735000,SINGLE FAMILY
238 NEWHAVEN BLVD,0.1011,1990,2001,2,2,12/14/22,675000,SINGLE FAMILY
237 POINCIANA DR,0.1286,2807,2001,3,2,3/15/23,837500,SINGLE FAMILY
235 POINCIANA DR,0.1028,2966,2001,3,2,3/23/21,605000,SINGLE FAMILY
229 POINCIANA DR,0.1028,1990,2001,2,2,4/30/21,435000,SINGLE FAMILY
226 JUNIPER WAY,0.1185,2848,2001,3,2,5/13/21,710000,SINGLE FAMILY
215 MARLBERRY CIR,0.1761,4229,2001,5,3,5/9/23,1550000,SINGLE FAMILY
214 MARLBERRY CIR,0.1377,2807,2001,3,2,11/28/23,965000,SINGLE FAMILY
191 WATERFORD DR,0.0728,2370,2001,3,2,12/15/21,600000,TOWNHOUSE
181 FARMINGDALE DR,0.0789,2382,2001,3,2,4/21/23,560000,TOWNHOUSE
173 FARMINGDALE DR,0.0725,2370,2001,3,2,4/14/21,418000,TOWNHOUSE
169 WATERFORD DR,0.0581,2364,2001,3,2,11/6/23,644000,TOWNHOUSE
167 PROMENADE WAY,0.101,1990,2001,2,2,4/30/21,470000,SINGLE FAMILY
164 PROMENADE WAY,0.1572,3623,2001,5,3,4/5/23,1300000,SINGLE FAMILY
