Address,Lot Size,Total SQFT,Year Built,Bed,Full Bath,Sale Date,Sale Price,Description
7259 VIA PALOMAR,0.1348,2608,1990,2,2,12/14/22,600000,SINGLE FAMILY
7252 VIA PALOMAR,0.127,2313,1990,2,2,4/8/22,615000,SINGLE FAMILY
7252 ARCADIA CT,0.2561,2766,1981,2,2,4/12/22,1075000,SINGLE FAMILY
7240 VIA PALOMAR,0.127,2608,1990,2,2,6/18/21,511900,SINGLE FAMILY
7208 VIA PALOMAR,0.1662,2572,1988,2,2,4/14/21,545000,SINGLE FAMILY
7191 VIA PALOMAR,0.1331,2630,1988,2,2,10/29/22,907500,SINGLE FAMILY
6989 TIBURON CIR,0.0525,1386,1978,2,2,3/25/21,249500,TOWNHOUSE
6944 ESCOBAR CT,0.0826,1632,1980,2,2,2/24/23,360000,TOWNHOUSE
6937 TIBURON CIR,0.0548,1062,1978,2,1,4/12/22,250000,TOWNHOUSE
6937 TIBURON CIR,0.0537,1170,1978,2,2,3/11/22,286000,TOWNHOUSE
6937 TIBURON CIR,0.0537,1170,1978,2,2,5/10/21,260000,TOWNHOUSE
6937 TIBURON CIR,0.0548,1062,1978,2,1,4/23/21,222000,TOWNHOUSE
6932 ESCOBAR CT,0.0826,2042,1980,2,2,10/15/21,390000,TOWNHOUSE
6928 CONSOLATA ST,0.0827,1632,1980,2,2,9/29/22,390000,TOWNHOUSE
6924 TIBURON CIR,0.0658,1238,1978,2,2,8/20/22,330000,TOWNHOUSE
6924 TIBURON CIR,0.064,1170,1978,2,2,5/11/21,250000,TOWNHOUSE
6916 CONSOLATA ST,0.0845,2042,1980,2,2,4/12/22,350000,TOWNHOUSE
6848 TIBURON DR,0.0813,1624,1978,2,2,6/14/23,332500,TOWNHOUSE
6818 BRIDLEWOOD CT,0.0368,1480,1985,2,2,2/2/23,399000,TOWNHOUSE
6804 CONSOLATA ST,0.0825,1700,1985,2,2,3/30/21,290000,TOWNHOUSE
6795 BRIDLEWOOD CT,0.0266,1196,1984,2,2,4/25/23,307500,TOWNHOUSE
6773 BRIDLEWOOD CT,0.0264,1196,1984,2,2,5/11/23,350000,TOWNHOUSE
6772 TIBURON CIR,0.0774,1624,1978,2,2,10/10/22,415000,TOWNHOUSE
6769 BRIDLEWOOD CT,0.0266,1196,1984,2,2,11/23/22,333000,TOWNHOUSE
6764 BRIDLEWOOD CT,0.0322,1478,1982,2,2,8/9/21,285000,TOWNHOUSE
6734 BRIDLEWOOD CT,0.032,1478,1982,2,2,10/12/21,330000,TOWNHOUSE
6732 BRIDLEWOOD CT,0.032,1478,1982,2,2,1/18/23,355000,TOWNHOUSE
6719 BRIDLEWOOD CT,0.0325,1478,1982,2,2,5/24/21,290000,TOWNHOUSE
6716 TIBURON CIR,0.0699,1664,1979,2,2,11/14/22,435000,TOWNHOUSE
6716 TIBURON CIR,0.0699,1664,1979,2,2,6/15/22,500000,TOWNHOUSE
6716 TIBURON CIR,0.0699,1664,1979,2,2,4/1/21,322000,TOWNHOUSE
6672 TIBURON DR,0.0618,1564,1979,2,2,1/8/24,520000,TOWNHOUSE
6636 TIBURON CIR,0.0613,1550,1979,2,2,6/28/23,435000,TOWNHOUSE
6610 TIBURON CIR,0.0679,1624,1979,2,2,10/22/21,295000,TOWNHOUSE
6610 ALTURA PL,0.1021,2428,1981,2,2,8/22/23,665000,TOWNHOUSE
6576 PATIO LN,0.1143,1744,1980,2,2,8/17/21,400000,TOWNHOUSE
6560 LAS FLORES DR,0.071,2228,1981,2,2,1/31/24,415000,TOWNHOUSE
6549 VIA ROSA,0.1371,2489,1985,2,2,9/27/21,520000,SINGLE FAMILY
6542 VIA ROSA,0.1493,2475,1988,2,2,11/8/23,640000,SINGLE FAMILY
6506 VIA ROSA,0.1729,3079,1989,2,2,3/1/24,855000,SINGLE FAMILY
6500 VIA ROSA,0.1858,3074,1991,2,2,12/20/22,768000,SINGLE FAMILY
6493 BOCA CIR,0.019,1353,1983,2,2,12/27/22,345000,TOWNHOUSE
6493 BOCA CIR,0.019,1353,1983,2,2,5/27/21,250000,TOWNHOUSE
6492 VIA ROSA,0.1435,3027,1993,2,2,4/12/23,735000,SINGLE FAMILY
6489 BOCA CIR,0.019,1353,1983,2,2,8/25/23,360000,TOWNHOUSE
6477 BOCA CIR,0.019,1371,1983,2,2,8/30/22,330000,TOWNHOUSE
6469 BOCA CIR,0.019,1371,1983,2,2,6/21/22,350000,TOWNHOUSE
6467 VIA ROSA,0.1451,3033,1989,2,2,1/16/24,850000,SINGLE FAMILY
6467 BOCA CIR,0.019,1371,1983,2,2,3/30/23,374000,TOWNHOUSE
6457 AMARILLO LN,0.1,1600,1981,2,2,11/2/21,375000,TOWNHOUSE
6443 BOCA CIR,0.019,1371,1983,2,2,4/22/21,250000,TOWNHOUSE
6431 BOCA CIR,0.0346,1236,1983,2,2,5/27/21,205000,TOWNHOUSE
6427 BOCA CIR,0.019,1353,1983,2,2,3/14/22,340000,TOWNHOUSE
6425 BOCA CIR,0.019,1353,1983,2,2,8/10/21,290000,TOWNHOUSE
6411 BOCA CIR,0.019,1353,1983,2,2,5/5/22,385000,TOWNHOUSE
6397 BOCA CIR,0.019,1371,1983,2,2,9/16/21,312000,TOWNHOUSE
6389 BOCA CIR,0.0344,1092,1983,2,2,6/8/23,350000,TOWNHOUSE
6380 VIA ROSA,0.1624,2713,1986,2,2,4/14/22,819000,SINGLE FAMILY
6377 BOCA CIR,0.019,1353,1983,2,2,1/30/24,390000,TOWNHOUSE
6371 BOCA CIR,0.0344,1092,1983,2,2,8/22/23,340000,TOWNHOUSE
6361 WALK CIR,0.0344,1092,1983,2,2,11/23/21,333000,TOWNHOUSE
6357 WALK CIR,0.019,1353,1983,2,2,8/16/21,230000,TOWNHOUSE
6354 LAS FLORES DR,0.0683,2228,1981,2,2,4/29/21,430000,TOWNHOUSE
6348 WALK CIR,0.019,1353,1983,2,2,5/18/21,228000,TOWNHOUSE
6335 TOULON DR,0.0627,1750,1987,2,2,2/23/22,372000,TOWNHOUSE
6281 WALK CIR,0.0344,1092,1983,2,2,2/1/22,265000,TOWNHOUSE
6273 WALK CIR,0.019,1353,1983,2,2,4/29/21,247500,TOWNHOUSE
6271 WALK CIR,0.019,1353,1983,2,2,5/2/23,346500,TOWNHOUSE
6180 VIA TIERRA,0.0683,2228,1981,2,2,6/27/22,455000,TOWNHOUSE
5967 PATIO DR,0.1064,1744,1976,2,2,8/4/21,407500,TOWNHOUSE
5930 PATIO DR,0.1017,2111,1976,2,2,6/20/22,720000,TOWNHOUSE
5541 ILFORD CT,0.0827,1531,1985,2,2,1/30/24,465000,SINGLE FAMILY
5508 FOX HOLLOW DR,0.1251,1585,1989,2,2,8/20/21,400000,SINGLE FAMILY
5476 FOX HOLLOW DR,0.1699,1585,1988,2,2,1/3/22,336000,SINGLE FAMILY
23209 VIA STEL,0.1367,2103,1986,2,2,7/12/23,585000,SINGLE FAMILY
22852 MARBELLA CIR,0.1093,2655,1986,2,2,5/28/21,480500,SINGLE FAMILY
22744 MARBELLA CIR,0.1439,2447,1986,2,2,6/10/22,660000,SINGLE FAMILY
22384 PINEAPPLE WALK DR,0.0283,1089,1984,2,2,6/7/23,302000,TOWNHOUSE
22352 PINEAPPLE WALK DR,0.0283,1089,1984,2,2,2/15/24,320000,TOWNHOUSE
22352 PINEAPPLE WALK DR,0.0283,1089,1984,2,2,9/30/21,252500,TOWNHOUSE
22346 PINEAPPLE WALK DR,0.035,971,1984,2,2,9/30/21,290000,TOWNHOUSE
22322 PINEAPPLE WALK DR,0.0323,1419,1984,2,2,11/10/22,380000,TOWNHOUSE
22304 PINEAPPLE WALK DR,0.0283,1089,1984,2,2,10/22/21,295000,TOWNHOUSE
22304 PINEAPPLE WALK DR,0.0283,1089,1984,2,2,3/26/21,254000,TOWNHOUSE
22300 PINEAPPLE WALK DR,0.0323,1419,1984,2,2,5/27/21,274900,TOWNHOUSE
22290 PINEAPPLE WALK DR,0.0283,1089,1984,2,2,3/18/22,302000,TOWNHOUSE
22284 PINEAPPLE WALK DR,0.0283,1419,1984,2,2,2/4/22,293000,TOWNHOUSE
22282 PINEAPPLE WALK DR,0.0323,1089,1984,2,2,1/27/22,290000,TOWNHOUSE
22280 PINEAPPLE WALK DR,0.035,971,1984,2,2,6/29/22,295000,TOWNHOUSE
22272 PINEAPPLE WALK DR,0.0283,1419,1984,2,2,2/22/23,325000,TOWNHOUSE
22272 PINEAPPLE WALK DR,0.0283,1419,1984,2,2,6/29/21,265000,TOWNHOUSE
22270 PINEAPPLE WALK DR,0.0323,1089,1984,2,2,10/27/21,300000,TOWNHOUSE
21856 TOWN PLACE DR,0.1403,2455,1986,2,2,11/8/23,739000,SINGLE FAMILY
21843 TOWN PLACE DR,0.1436,2452,1986,2,2,9/12/22,635000,SINGLE FAMILY
21802 CONTADO RD,0.1006,1600,1981,2,2,1/5/22,400000,TOWNHOUSE
21770 CONTADO RD,0.1098,1957,1981,2,2,6/2/22,440000,TOWNHOUSE
21770 CONTADO RD,0.1098,1957,1981,2,2,9/29/21,395000,TOWNHOUSE
21748 CLUB VILLA TER,0.1428,2455,1985,2,2,9/8/21,555000,SINGLE FAMILY
