Address,Lot Size,Total SQFT,Year Built,Bed,Full Bath,Sale Date,Sale Price,Description
227 SWEET BAY CIR,0.1208,2846,1998,3,2,11/6/18,520000,SINGLE FAMILY
146 DAY LILY DR,0.0668,1780,1998,3,2,5/10/19,300000,TOWNHOUSE
143 BISHOPWOOD DR,0.0414,1842,1998,3,2,11/30/18,302000,TOWNHOUSE
143 BISHOPWOOD DR,0.0414,1842,1998,3,2,2/21/18,290000,TOWNHOUSE
142 DAY LILY DR,0.0414,1842,1998,3,2,7/18/19,270000,TOWNHOUSE
140 DAY LILY DR,0.0657,1854,1998,3,2,3/9/18,297500,TOWNHOUSE
134 REDWOOD DR,0.0414,1842,1998,3,2,10/30/19,293475,TOWNHOUSE
132 REDWOOD DR,0.0414,1842,1998,3,2,7/14/17,289000,TOWNHOUSE
124 DATE PALM DR,0.1599,2846,1998,3,2,12/16/16,465000,SINGLE FAMILY
118 REDWOOD DR,0.0666,1854,1998,3,2,11/14/19,322500,TOWNHOUSE
118 DATE PALM DR,0.1001,2846,1998,3,2,5/9/18,510000,SINGLE FAMILY
117 NEWHAVEN BLVD,0.1001,2846,1998,3,2,6/20/19,528000,SINGLE FAMILY
114 DATE PALM DR,0.1251,2806,1998,3,2,1/4/18,483500,SINGLE FAMILY
511 SWEET BAY CIR,0.1205,2807,1999,3,2,1/31/17,472000,SINGLE FAMILY
374 LEGARE CT,0.0698,2232,1999,3,2,11/2/18,370000,TOWNHOUSE
351 LEGARE CT,0.0473,1854,1999,3,2,7/12/19,313000,TOWNHOUSE
350 LEGARE CT,0.0381,1842,1999,3,2,2/25/17,285000,TOWNHOUSE
341 LEGARE CT,0.0473,1854,1999,3,2,10/24/19,325000,TOWNHOUSE
333 LEGARE CT,0.0381,1842,1999,3,2,7/24/17,288000,TOWNHOUSE
327 LEGARE CT,0.0381,1842,1999,3,2,9/22/17,275000,TOWNHOUSE
320 MARLBERRY CIR,0.0964,2848,1999,3,2,8/29/19,485000,SINGLE FAMILY
317 SWEET BAY CIR,0.101,2848,1999,3,2,11/16/18,525000,SINGLE FAMILY
313 BARBADOS DR,0.1496,2848,1999,3,2,8/17/18,510000,SINGLE FAMILY
312 LEGARE CT,0.0562,2220,1999,3,2,10/30/19,380000,TOWNHOUSE
312 LEGARE CT,0.0562,2220,1999,3,2,6/30/17,343250,TOWNHOUSE
308 LEGARE CT,0.0562,2220,1999,3,2,7/17/17,354000,TOWNHOUSE
306 LEGARE CT,0.0562,2220,1999,3,2,1/11/19,390000,TOWNHOUSE
272 MURRAY CT,0.0562,2220,1999,3,2,11/7/17,390000,TOWNHOUSE
